timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:35:07.737, 85, 1080 MHz, 97 %, 64.82 W, Active
2026/09/20 03:35:09.750, 85, 1185 MHz, 99 %, 69.14 W, Active
2026/09/20 03:35:11.777, 84, 870 MHz, 97 %, 52.15 W, Active
2026/09/20 03:35:13.789, 85, 1680 MHz, 97 %, 62.91 W, Not Active
2026/09/20 03:35:15.812, 83, 315 MHz, 99 %, 42.69 W, Active
2026/09/20 03:35:17.829, 85, 1155 MHz, 84 %, 64.98 W, Active
2026/09/20 03:35:19.853, 87, 1620 MHz, 89 %, 72.34 W, Active
2026/09/20 03:35:21.886, 85, 1125 MHz, 82 %, 63.26 W, Active
2026/09/20 03:35:23.899, 85, 1110 MHz, 74 %, 62.39 W, Active
2026/09/20 03:35:25.921, 85, 1050 MHz, 82 %, 62.60 W, Active
